3.14.242.117        # ads.simplyhired.com
34.206.197.18       # px.dynamicyield.com
34.206.228.190      # udkcrj.com
34.232.235.35       # udkcrj.com
34.236.210.83       # udkcrj.com
35.83.67.194        # track.unear.net
35.166.28.211       # track.unear.net
35.166.228.200      # adcast.deviantart.com
35.168.165.225      # udkcrj.com
35.186.238.101      # click2freemoney.com
35.190.72.161       # fqtag.com
35.201.89.239       # adserver.oddschecker.com
35.214.222.175      # converge-digital.com
35.237.37.107       # clickbank.com
35.244.133.240      # calypsocapsule.com
37.202.7.17         # adserve.gkeurope.de
39.96.18.19         # ads.doit.com.cn
40.70.24.162        # adpushup.com
40.81.46.32         # analytics.live.com
40.90.218.14        # analytics.live.com
44.195.255.168      # adsrvr.org
44.211.112.71       # als-svc.nytimes.com
44.240.76.14        # adcast.deviantart.com
45.32.178.172       # dsp.colpirio.com
45.32.193.54        # 180searchassistant.com
45.33.2.79          # direct-xxx-access.com
45.33.18.44         # direct-xxx-access.com
45.33.20.235        # direct-xxx-access.com
45.33.23.183        # direct-xxx-access.com
45.33.30.197        # direct-xxx-access.com
45.56.79.23         # direct-xxx-access.com
45.61.212.137       # 3337723.com
45.61.212.175       # 3337723.com
45.79.19.196        # direct-xxx-access.com
45.158.28.208       # ads.delfin.bg
46.149.113.131      # ads.newmedia.cz
46.149.113.145      # add.newmedia.cz
50.28.32.8          # vivads.net
50.57.251.215       # gavvia.com
50.63.7.223         # imarketservices.com
52.3.42.214         # als-svc.nytimes.com
52.8.51.171         # thirdparty.bnc.lt
52.8.180.158        # tracking.intentsify.io
52.20.195.125       # afftracking.justanswer.com
52.20.238.75        # tapjoy.com
52.23.101.209       # paychat.fuse-cloud.com
52.24.213.155       # adcast.deviantart.com
52.31.22.45         # ads2.hsoub.com
52.31.175.230       # qrlsx.com
52.45.0.112         # px.dynamicyield.com
52.45.207.29        # crazyegg.com
52.50.214.173       # ads2.hsoub.com
52.52.16.163        # thirdparty.bnc.lt
52.52.148.181       # t.insigit.com
52.54.19.1          # udkcrj.com
52.54.49.121        # als-svc.nytimes.com
52.54.71.225        # dyntrk.com
52.55.100.138       # px.dynamicyield.com
52.71.57.184        # ultimateclixx.com
52.71.245.85        # adsrvr.org
52.88.39.124        # 4info.com
52.116.53.157       # clk1011.com
52.128.23.153       # adexpose.com
52.204.79.135       # dyntrk.com
52.204.218.201      # udkcrj.com
52.205.36.237       # afftracking.justanswer.com
52.207.88.224       # distillery.wistia.com
52.209.79.46        # justpremium.com
52.215.62.169       # ads2.hsoub.com
52.216.44.117       # emltrk.com
52.216.53.125       # emltrk.com
52.216.100.74       # rtxplatform.com
52.216.139.170      # emltrk.com
52.216.143.27       # emltrk.com
52.216.153.59       # emltrk.com
52.216.212.21       # rtxplatform.com
52.217.68.123       # emltrk.com
52.217.77.107       # rtxplatform.com
52.217.107.27       # rtxplatform.com
52.217.110.83       # emltrk.com
52.217.132.245      # rtxplatform.com
52.217.172.45       # rtxplatform.com
52.217.201.85       # emltrk.com
52.218.25.212       # rtmark.net
52.218.61.60        # rtmark.net
52.218.90.124       # rtmark.net
52.218.96.108       # rtmark.net
52.218.97.52        # rtmark.net
52.218.98.4         # rtmark.net
52.218.118.68       # rtmark.net
52.218.120.20       # rtmark.net
52.219.120.123      # bigbangmedia.com
54.37.204.251       # euros4click.de
54.38.94.82         # geovisite.com
54.83.224.205       # logsss.com
54.154.64.106       # justpremium.com
54.183.132.67       # tracking.intentsify.io
54.191.145.9        # track.unear.net
54.198.61.81        # px.dynamicyield.com
54.204.89.179       # carbonads.com
54.209.20.70        # logsss.com
54.209.32.212       # ultimateclixx.com
54.214.116.219      # convertingtraffic.com
54.231.128.29       # rtxplatform.com
54.231.138.77       # rtxplatform.com
54.241.161.231      # t.insigit.com
54.243.174.223      # px.dynamicyield.com
54.246.36.112       # justpremium.com
62.76.157.185       # begun.ru
62.76.157.186       # begun.ru
62.210.209.165      # eulerian.net
62.219.78.157       # all4spy.com
62.245.233.133      # ads.gaming-universe.de
63.140.38.0         # wa.and.co.uk
63.140.38.12        # metrics.cnn.com
63.140.38.15        # metrics.cnn.com
63.140.38.100       # wa.and.co.uk
63.140.38.104       # sw88.espn.com
63.140.38.113       # metrics.cnn.com
63.140.38.115       # metrics.cnn.com
63.140.38.117       # metrics.cnn.com
63.140.38.120       # smetrics.ctv.ca
63.140.38.123       # smetrics.ctv.ca
63.140.38.128       # metrics.cnn.com
63.140.38.137       # metrics.cnn.com
63.140.38.139       # metrics.cnn.com
63.140.38.149       # smetrics.ctv.ca
63.140.38.160       # wa.and.co.uk
63.140.38.163       # wa.and.co.uk
63.140.38.165       # sw88.espn.com
63.140.38.169       # smetrics.ctv.ca
63.140.38.178       # metrics.cnn.com
63.140.38.180       # wa.and.co.uk
63.140.38.186       # sw88.espn.com
63.140.38.201       # smetrics.ctv.ca
63.140.38.219       # metrics.cnn.com
63.140.38.225       # sw88.espn.com
63.140.38.226       # sw88.espn.com
63.140.38.229       # smetrics.ctv.ca
63.140.38.237       # sw88.espn.com
64.13.232.146       # adsroller.com
64.32.8.68          # ad.nozonedata.com
64.79.161.69        # specificpop.com
64.95.190.123       # ad.digitallook.com
64.190.63.111       # ads.gamecity.net
64.190.63.136       # sedoparking.com
64.210.158.32       # assets1.exgfnetwork.com
64.210.158.33       # assets1.exgfnetwork.com
64.210.158.34       # assets1.exgfnetwork.com
64.210.158.35       # assets1.exgfnetwork.com
64.210.158.36       # assets1.exgfnetwork.com
64.210.158.37       # assets1.exgfnetwork.com
64.210.158.38       # assets1.exgfnetwork.com
64.210.158.39       # assets1.exgfnetwork.com
66.77.93.51         # 101com.com
66.171.199.36       # ojrq.net
66.230.168.14       # oxcash.com
66.254.114.62       # etahub.com
66.254.114.210      # tour.brazzers.com
67.225.218.6        # look.ufinkln.com
67.227.215.171      # prchecker.info
67.228.194.248      # forwrdnow.com
68.178.244.98       # americash.com
69.16.230.226       # udncoeln.com
69.42.67.236        # topsites.com.br
69.64.147.200       # nuseek.com
69.162.80.52        # clickthrutraffic.com
69.163.225.7        # projectwonderful.com
69.165.107.14       # banners.friendfinder.com
72.5.92.194         # ojrq.net
72.14.178.174       # direct-xxx-access.com
72.14.185.43        # direct-xxx-access.com
72.21.206.84        # assoc-amazon.com
72.21.210.210       # assoc-amazon.com
72.47.232.104       # searchmarketing.com
74.84.198.231       # ads.oneplace.com
74.113.237.50       # i1img.com
74.121.132.128      # coremetrics.com
76.223.27.102       # adabra.com
76.223.65.111       # adsoldier.com
77.91.251.10        # ads.guardian.co.uk
77.91.252.10        # ads.guardian.co.uk
77.92.72.230        # zencudo.co.uk
78.47.58.235        # web-redirecting.com
78.140.158.125      # trafficshop.com
79.124.55.165       # ads.unison.bg
80.67.16.221        # ad.domainfactory.de
80.190.200.243      # jinkads.de
81.0.120.91         # adverticum.com
81.88.34.118        # adserver.kontent.com
82.165.68.116       # ads.cheabit.com
82.208.58.129       # ceskydomov.alias.ngs.modry.cz
83.149.75.229       # stats4all.com
83.220.129.150      # ads.virtual-nights.com
84.16.228.207       # analytics.ext.go-tellm.com
84.16.241.74        # checkstat.nl
87.98.227.233       # manageadv.cblogs.eu
91.120.235.100      # audit.webinform.hu
91.121.134.56       # stat.webmedia.pl
91.197.10.62        # ads.apteka254.ru
91.210.225.11       # link-booster.de
91.213.160.15       # navrcholu.cz
91.228.45.211       # banik.redigy.cz
92.52.99.14         # marketing.hearstmagazines.nl
94.130.8.219        # eversales.space
95.142.100.25       # pubdirecte.com
95.163.41.56        # ads.icq.com
96.126.123.244      # direct-xxx-access.com
103.170.15.47       # 3337723.com
103.170.15.62       # 3337723.com
103.189.109.70      # 3337723.com
103.189.109.73      # 3337723.com
103.224.182.238     # ad.xmovies8.si
103.224.182.245     # ranking-charts.de
103.224.182.246     # dist.belnk.com
103.224.182.251     # adplxmd.com
104.16.182.44       # trackedweb.net
104.16.183.44       # trackedweb.net
104.16.184.44       # trackedweb.net
104.16.185.44       # trackedweb.net
104.16.186.44       # trackedweb.net
104.17.70.206       # engage.webshrinker.com
104.17.71.206       # engage.webshrinker.com
104.17.72.206       # engage.webshrinker.com
104.17.73.206       # engage.webshrinker.com
104.17.74.206       # engage.webshrinker.com
104.18.8.195        # t.carta.com
104.18.9.195        # t.carta.com
104.18.22.36        # information.com
104.18.23.36        # information.com
104.18.26.226       # educationdynamics.com
104.18.27.226       # educationdynamics.com
104.18.39.37        # click.classmates.com
104.18.192.233      # marketo.com
104.20.90.49        # email-opn.adguard.com
104.20.91.49        # email-opn.adguard.com
104.21.2.132        # gamesites100.net
104.21.18.116       # webgains.com
104.21.29.36        # performancing.com
104.21.49.191       # analyticsapi.happypancake.net
104.21.54.194       # popmyads.com
104.21.61.217       # bigclicks.com
104.21.85.50        # larati.net
104.21.86.70        # tracking.1-kv015-ap.co.uk
104.21.88.44        # click.hooligapps.com
104.21.93.24        # ads.suomiautomaatti.com
104.21.235.201      # pagefair.com
104.21.235.202      # pagefair.com
104.22.20.108       # widget.privy.com
104.22.21.108       # widget.privy.com
104.22.54.206       # connectad.io
104.22.55.206       # connectad.io
104.26.4.142        # brightcom.com
104.26.4.236        # reyden-x.com
104.26.5.142        # brightcom.com
104.26.5.236        # reyden-x.com
104.26.10.194       # ipstack.com
104.26.11.194       # ipstack.com
104.26.14.247       # a-ads.com
104.26.15.247       # a-ads.com
104.95.197.217      # admanmedia.com
104.198.14.52       # fpjs.io
104.198.23.205      # r.logrocket.io
104.236.14.237      # gostats.com
104.247.81.11       # deloo.de
104.247.81.52       # banners.babylon-x.com
104.247.82.50       # megacash.de
107.20.1.219        # px.dynamicyield.com
107.21.4.202        # px.dynamicyield.com
107.22.189.186      # tapjoy.com
107.170.197.143     # cashfiesta.com
107.178.244.119     # pixel.sojern.com
107.180.50.244      # trackuhub.com
108.138.64.8        # verticalmass.com
108.138.64.52       # verticalmass.com
108.138.64.127      # verticalmass.com
108.138.64.128      # verticalmass.com
109.203.110.162     # ads.uknetguide.co.uk
116.202.21.121      # pagerank-ranking.de
116.203.50.173      # fast-redirecting.com
124.47.143.177      # clixgalore.com
127.0.0.1           # tidint.pro
129.232.243.154     # ads.brabys.com
130.211.17.196      # adnetworkperformance.com
131.153.42.225      # prpops.com
131.153.42.226      # prpops.com
131.153.42.227      # prpops.com
131.153.42.228      # prpops.com
131.153.42.229      # prpops.com
133.237.62.12       # ba.afl.rakuten.co.jp
135.181.161.74      # relmaxtop.com
137.135.201.236     # edaa.eu
138.108.20.122      # exelate.com
138.128.241.162     # log.videocampaign.co
139.162.61.219      # adplus.co.id
141.193.213.20      # tealium.com
141.193.213.21      # tealium.com
151.80.63.34        # clickonometrics.pl
151.101.0.200       # aps.hearstnp.com
151.101.0.239       # pixel.condenastdigital.com
151.101.0.249       # adimage.guardian.co.uk
151.101.64.200      # aps.hearstnp.com
151.101.64.239      # pixel.condenastdigital.com
151.101.64.249      # adimage.guardian.co.uk
151.101.128.200     # aps.hearstnp.com
151.101.128.239     # pixel.condenastdigital.com
151.101.128.249     # adimage.guardian.co.uk
151.101.192.200     # aps.hearstnp.com
151.101.192.239     # pixel.condenastdigital.com
151.101.192.249     # adimage.guardian.co.uk
152.195.32.52       # ads.amigos.com
156.38.136.165      # servads.net
159.127.40.163      # greystripe.com
160.121.112.107     # biosda.com
162.55.95.220       # woopra.com
162.125.19.130      # telemetry.v.dropbox.com
162.159.134.42      # socialspark.com
162.159.135.42      # crakmedia.com
162.210.97.218      # 50websads.com
165.193.78.248      # voicefive.com
170.249.196.210     # adserver.smgfiles.com
172.64.148.219      # click.classmates.com
172.66.40.56        # blockthrough.com
172.66.43.200       # blockthrough.com
172.67.3.157        # email-opn.adguard.com
172.67.8.174        # connectad.io
172.67.36.106       # widget.privy.com
172.67.69.167       # a-ads.com
172.67.73.233       # ipstack.com
172.67.74.95        # brightcom.com
172.67.74.103       # reyden-x.com
172.67.129.62       # gamesites100.net
172.67.141.89       # popmyads.com
172.67.148.243      # analyticsapi.happypancake.net
172.67.171.76       # performancing.com
172.67.172.137      # click.hooligapps.com
172.67.181.203      # webgains.com
172.67.202.119      # larati.net
172.67.203.6        # ads.suomiautomaatti.com
172.67.215.106      # bigclicks.com
172.67.216.141      # tracking.1-kv015-ap.co.uk
172.93.103.101      # zy16eoat1w.com
172.104.231.58      # t.firstpromoter.com
173.233.137.36      # hf5rbejvpwds.com
173.233.137.44      # hf5rbejvpwds.com
173.233.137.52      # hf5rbejvpwds.com
173.233.137.60      # hf5rbejvpwds.com
173.233.139.164     # hf5rbejvpwds.com
173.255.194.134     # direct-xxx-access.com
174.129.19.78       # admarvel.com
180.76.112.85       # do-global.com
185.31.222.137      # clickedyclick.com
185.66.201.42       # benfly.net
185.84.110.84       # cnt.spbland.ru
185.84.110.85       # cnt.spbland.ru
188.166.84.215      # priefy.com
192.0.76.3          # stats.wp.com
192.0.78.24         # pubmine.com
192.0.78.25         # pubmine.com
192.0.78.132        # kubient.com
192.0.78.197        # kubient.com
192.82.210.254      # outbrain.com
192.95.33.163       # a.xanga.com
192.145.44.37       # banner.reinstil.de
192.185.37.235      # serv0.com
192.243.59.12       # hf5rbejvpwds.com
192.243.59.13       # hf5rbejvpwds.com
192.243.59.20       # hf5rbejvpwds.com
192.243.61.225      # hf5rbejvpwds.com
192.243.61.227      # hf5rbejvpwds.com
193.17.41.242       # adserver.o2.pl
193.138.214.40      # banner.buempliz-online.ch
193.201.172.98      # ads.mail.bg
194.56.74.11        # opads.us
194.181.186.115     # adstat.4u.pl
194.230.72.76       # banner.vadian.net
195.24.89.6         # revive.haskovo.net
195.142.105.15      # ad.mynetreklam.com.streamprovider.net
195.158.241.11      # comclick.com
195.245.179.177     # adserver.portugalmail.net
198.50.135.81       # rtbplatform.net
198.54.12.136       # spotx.tv
198.54.12.190       # spotx.tv
198.54.115.140      # webstats4u.com
198.58.118.167      # direct-xxx-access.com
198.145.13.11       # roxr.net
198.145.13.12       # roxr.net
198.145.13.13       # roxr.net
198.145.13.14       # roxr.net
198.148.27.76       # contextweb.com
199.21.148.42       # lzjl.com
199.59.243.222      # nitroclicks.com
199.191.50.73       # casalmedia.com
199.241.100.214     # adxpansion.com
200.147.67.170      # banners.bol.com.br
203.131.192.52      # adv.livedoor.com
203.190.242.37      # newopenx.detik.com
204.145.125.95      # ads.socialtheater.com
205.178.187.13      # ads.networksolutions.com
206.119.209.13      # adyea.com
207.66.130.100      # mbs.megaroticlive.com
207.66.130.101      # mbs.megaroticlive.com
207.66.182.21       # ads.videosz.com
207.66.182.35       # ads.videosz.com
207.148.248.143     # crowdgravity.com
207.171.166.176     # assoc-amazon.com
207.204.50.144      # phoenix-adrunner.mycomputer.com
207.246.136.167     # sextracker.com
208.78.94.73        # clicks.equantum.com
208.91.196.105      # ads.printscr.com
208.97.171.227      # personagraph.com
208.97.178.159      # oxen.hillcountrytexas.com
209.59.142.50       # ads.justhungry.com
209.202.254.90      # hit.webcentre.lycos.co.uk
209.208.78.145      # 1-1ads.com
212.100.228.202     # tracking.1-a1502-bi.co.uk
212.110.176.211     # audience2media.com
213.121.143.205     # admanager.btopenworld.com
213.131.252.240     # ads.mmania.com
213.155.156.188     # de17a.com
213.155.156.189     # de17a.com
216.92.223.3        # globalismedia.com
216.246.14.19       # trackingsoft.com
217.22.19.212       # ero-advertising.com
217.146.68.146      # bnrs.ilm.ee
217.160.0.97        # spykemediatrack.com
